Name,Distance,Mass,Radius,Gravity
Sun,1.5813e-05,1.989e+30,695700000.0,274.2691614595739
Sirius,8.6,4.176900000000001e+30,1189647000.0,196.971799550325
Alpha Centauri,4.4,2.1879e+30,834840000.0,209.51116500384123
Altair,17.0,3.5802e+30,1252260000.0,152.37175636643
Fomalhaut,25.0,3.7791e+30,1252260000.0,160.83685394234274
Tau Ceti,11.9,1.557387e+30,621260100.0,269.29967110479345
Delta Pavonis,19.92,1.9710989999999998e+30,848754000.0,182.61269753187165
Titawin,44.25,2.52603e+30,1029636000.0,159.02202111653529
54 Piscium,36.1,1.5116400000000002e+30,653958000.0,235.9037604224493
